variable	year	topic	leftp	n
GOVINVEST	1996	100	44.44444444	600
GOVJOB	1994	100	49.26470588	2958
GOVJOB	1996	100	72.72727273	600
GOVJOB	1996	100	69.41176471	600
GOVJOB	1996	100	61.62538027	3103
GOVJOB	1997	100	63.94052045	1088
GOVJOBS	1983	100	80	3955
GOVJOBS	1987	100	88.39413962	3826
GOVJOBS	1992	100	92.25308642	3534
GOVJOBS2	1993	100	55.81531955	600
GOVJOBS2	1995	100	60.49763033	600
GOVJOBS2	1997	100	58.57545666	600
GOVJOBS2	2000	100	58.44827586	600
GOVJOBS2	2004	100	51.44261056	600
GOVNHSSP	1974	140	91.08818011	2365
GOVNHSSP	1979	140	93.01659989	1893
GOVNHSSP	1981	140	91.4893617	600
GOVNHSSP	1983	140	94.73684211	600
GOVNHSSP	1983	140	89.5777659	3955
GOVNHSSP	1987	140	94.36967866	3826
GOVNHSSP	1992	140	96.28865979	3534
GOVNHSSP	1997	140	97.39155089	3615
GOVRESP1	1985	100	72.03389831	1501
GOVRESP1	1986	100	67.49174917	1316
GOVRESP1	1989	100	72.32597623	1254
GOVRESP1	1990	100	63.46328196	1163
